"id","file_name","file_hash","status","error_message","process_time_ms","created_at"
153,R24181-DFMEA-00.pdf,"693fc72ffb70fea0ca97569b9bcbf340",success,,627,"2025-11-11 16:44:50"
154,R24183 DFEMA表-00.pdf,"5cc3fe51bb018ae3db1568ea30b05c15",processing,,0,"2025-11-11 16:44:50"
155,R24183 DFEMA表-00.pdf,"5cc3fe51bb018ae3db1568ea30b05c15",success,,46,"2025-11-11 16:44:50"
156,R24199 DFMEA表.pdf,"9f4c2d28b4e4b852cb130b809f1269b3",processing,,0,"2025-11-11 16:44:50"
157,R24199 DFMEA表.pdf,"9f4c2d28b4e4b852cb130b809f1269b3",success,,44,"2025-11-11 16:44:50"
158,R24203 DFEMA表-00.pdf,"349d95ec31ac52e624da42d9abc718e6",processing,,0,"2025-11-11 16:45:10"
159,R24203 DFEMA表-00.pdf,"349d95ec31ac52e624da42d9abc718e6",success,,78,"2025-11-11 16:45:10"
160,R24204 DFMEA表.pdf,fa8ba80bf555c76f7b68b48e340c102d,processing,,0,"2025-11-11 16:45:10"
161,R24204 DFMEA表.pdf,fa8ba80bf555c76f7b68b48e340c102d,success,,45,"2025-11-11 16:45:11"
162,R24213 DFMEA表-00.pdf,"3a0145806cdb6842c1449021547e33b6",processing,,0,"2025-11-11 16:45:11"
163,R24213 DFMEA表-00.pdf,"3a0145806cdb6842c1449021547e33b6",success,,169,"2025-11-11 16:45:11"
164,R25007 DMEA-00.pdf,"15c587764d8dcb3e5359c06a0b413128",processing,,0,"2025-11-11 16:45:31"
165,R25007 DMEA-00.pdf,"15c587764d8dcb3e5359c06a0b413128",success,,56,"2025-11-11 16:45:31"
166,R25010-DFMEA表-00.pdf,d5254b0565b2e6587c6d64ecf0bfea1b,processing,,0,"2025-11-11 16:45:31"
167,R25010-DFMEA表-00.pdf,d5254b0565b2e6587c6d64ecf0bfea1b,success,,67,"2025-11-11 16:45:31"
168,R25011 DFMEA-00.pdf,eb3488d0b29c1adba1464f8778773f0b,processing,,0,"2025-11-11 16:45:31"
169,R25011 DFMEA-00.pdf,eb3488d0b29c1adba1464f8778773f0b,success,,28,"2025-11-11 16:45:31"
170,R25013 DFMEA表.pdf,"2e5196cd0f2278835c1e97849b07e14c",processing,,0,"2025-11-11 16:45:51"
171,R25013 DFMEA表.pdf,"2e5196cd0f2278835c1e97849b07e14c",success,,134,"2025-11-11 16:45:51"
172,R25015-DFMEA表-00.pdf,"990b0260df99ee4a1eefc7d8f70eb09d",processing,,0,"2025-11-11 16:45:51"
173,R25015-DFMEA表-00.pdf,"990b0260df99ee4a1eefc7d8f70eb09d",success,,58,"2025-11-11 16:45:51"
174,R25017 DFMEA表.pdf,"3a2b63ac0178683cc420142a79acbc30",processing,,0,"2025-11-11 16:45:51"
175,R25017 DFMEA表.pdf,"3a2b63ac0178683cc420142a79acbc30",success,,74,"2025-11-11 16:45:51"
176,R25018 DFEMA表-00.pdf,f23fa3df306c7e9122e3cb3223bb5f4d,processing,,0,"2025-11-11 16:46:11"
177,R25018 DFEMA表-00.pdf,f23fa3df306c7e9122e3cb3223bb5f4d,success,,73,"2025-11-11 16:46:11"
178,R25021 DFEMA表-00.pdf,"0c1086c03a101d1528a27d930f1eb7b4",processing,,0,"2025-11-11 16:46:11"
179,R25021 DFEMA表-00.pdf,"0c1086c03a101d1528a27d930f1eb7b4",success,,61,"2025-11-11 16:46:11"
180,R25022 DFMEA-01.pdf,e2ab529eec23115dd58edc359ab4663d,processing,,0,"2025-11-11 16:46:11"
181,R25022 DFMEA-01.pdf,e2ab529eec23115dd58edc359ab4663d,success,,70,"2025-11-11 16:46:11"
182,R25023 DFEMA表-00.pdf,"4b6551d9464e9c3c3b7e588fd0edbea9",processing,,0,"2025-11-11 16:46:31"
183,R25023 DFEMA表-00.pdf,"4b6551d9464e9c3c3b7e588fd0edbea9",success,,96,"2025-11-11 16:46:31"
184,R25024 DFMEA.pdf,"6bf901c3a9603d697d0ac94a3fa82081",processing,,0,"2025-11-11 16:46:31"
185,R25024 DFMEA.pdf,"6bf901c3a9603d697d0ac94a3fa82081",success,,80,"2025-11-11 16:46:32"
186,R25028 DFMEA表-00.pdf,"0105bc000a1a94eaa56a65d30f8faced",processing,,0,"2025-11-11 16:46:32"
187,R25028 DFMEA表-00.pdf,"0105bc000a1a94eaa56a65d30f8faced",success,,51,"2025-11-11 16:46:32"
188,R25029 DFMEA-00.pdf,aa83694a158de45ac9afb85e4e4cf906,processing,,0,"2025-11-11 16:46:52"
189,R25029 DFMEA-00.pdf,aa83694a158de45ac9afb85e4e4cf906,success,,96,"2025-11-11 16:46:52"
190,R25036_DFMEA表-2.pdf,dea8188db401e9009e8d957aac88c9f0,processing,,0,"2025-11-11 16:46:52"
191,R25036_DFMEA表-2.pdf,dea8188db401e9009e8d957aac88c9f0,success,,63,"2025-11-11 16:46:52"
192,R25038 DFMEA-00.pdf,"58ccf5a00794144796b3a8fbd6e314e9",processing,,0,"2025-11-11 16:46:52"
193,R25038 DFMEA-00.pdf,"58ccf5a00794144796b3a8fbd6e314e9",success,,60,"2025-11-11 16:46:52"
194,R25039 DFMEA表-00.pdf,b9e81b40df92d69903431a89ec14651d,processing,,0,"2025-11-11 16:47:12"
195,R25039 DFMEA表-00.pdf,b9e81b40df92d69903431a89ec14651d,success,,105,"2025-11-11 16:47:12"
196,R25040 DFMEA-00.pdf,"49df7c5221f54641f794ce2e81b85456",processing,,0,"2025-11-11 16:47:12"
197,R25040 DFMEA-00.pdf,"49df7c5221f54641f794ce2e81b85456",success,,43,"2025-11-11 16:47:12"
198,R25042 DFMEA表.pdf,f49de1d58c529252fde34af5d6f78359,processing,,0,"2025-11-11 16:47:12"
199,R25042 DFMEA表.pdf,f49de1d58c529252fde34af5d6f78359,success,,86,"2025-11-11 16:47:12"
200,R25044 DFMEA表-00.pdf,e754fa86ff2a302b85d8c4e735919667,processing,,0,"2025-11-11 16:47:32"
201,R25044 DFMEA表-00.pdf,e754fa86ff2a302b85d8c4e735919667,success,,103,"2025-11-11 16:47:32"
202,R25047 DFMEA-00.pdf,"61f12861f2f45dafede85208fbf2b5da",processing,,0,"2025-11-11 16:47:32"
203,R25047 DFMEA-00.pdf,"61f12861f2f45dafede85208fbf2b5da",success,,69,"2025-11-11 16:47:32"
204,R25053 DFMEA表.pdf,"7082f4d059284c98a2fe1ffcb7c8087a",processing,,0,"2025-11-11 16:47:32"
205,R25053 DFMEA表.pdf,"7082f4d059284c98a2fe1ffcb7c8087a",success,,65,"2025-11-11 16:47:32"
206,T鎖-FMEA.pdf,"104a64607ee0a7f76dd02d527d9a0583",processing,,0,"2025-11-11 16:47:52"
207,T鎖-FMEA.pdf,"104a64607ee0a7f76dd02d527d9a0583",success,,107,"2025-11-11 16:47:52"
208,T鎖-客訴資料.pdf,"3cf71fab9c44316b2c547e2421bc6c9e",processing,,0,"2025-11-11 16:47:52"
209,T鎖-客訴資料.pdf,"3cf71fab9c44316b2c547e2421bc6c9e",success,,47078,"2025-11-11 16:48:40"
210,T鎖-設變單申請單-2.pdf,febe31b61127f57cda7c6d0ea0956963,processing,,0,"2025-11-11 16:48:40"
211,T鎖-設變單申請單-2.pdf,febe31b61127f57cda7c6d0ea0956963,success,,18471,"2025-11-11 16:48:58"
212,T鎖-設變單申請單-3.pdf,"63d649ec07a4c03cd7e560e41bb008dd",processing,,0,"2025-11-11 16:49:18"
213,T鎖-設變單申請單-3.pdf,"63d649ec07a4c03cd7e560e41bb008dd",success,,20781,"2025-11-11 16:49:39"
214,T鎖-設變單申請單.pdf,b726ea652266f977557a03eff4d99d63,processing,,0,"2025-11-11 16:49:39"
215,T鎖-設變單申請單.pdf,b726ea652266f977557a03eff4d99d63,success,,19209,"2025-11-11 16:49:58"
216,T鎖-設變單通知單-2.pdf,"586b5cf0bb605cb8c3d3c45228424a18",processing,,0,"2025-11-11 16:49:58"
217,T鎖-設變單通知單-2.pdf,"586b5cf0bb605cb8c3d3c45228424a18",success,,25877,"2025-11-11 16:50:24"
218,T鎖-設變單通知單-3.pdf,"220481c684f34e438a29eaa2e76acdb2",processing,,0,"2025-11-11 16:50:44"
219,T鎖-設變單通知單-3.pdf,"220481c684f34e438a29eaa2e76acdb2",success,,18908,"2025-11-11 16:51:03"
220,T鎖-設變單通知單.pdf,"1b587728e54700bf29d9ada689598b31",processing,,0,"2025-11-11 16:51:03"
221,T鎖-設變單通知單.pdf,"1b587728e54700bf29d9ada689598b31",success,,34989,"2025-11-11 16:51:38"
